id,Calories
750000,27.13
750001,106.55
750002,89.11
750003,127.9
750004,75.66
750005,21.26
750006,48.53
750007,7.44
750008,9.44
750009,207.61166666666665
750010,72.65
750011,219.6
750012,71.08
750013,250.65
750014,85.81
750015,137.22
750016,65.32
750017,159.35
750018,123.27
750019,190.44
750020,87.12
750021,62.74
750022,79.09
750023,5.95
750024,35.1
750025,152.01
750026,75.68
750027,154.14
750028,89.77
750029,17.62
750030,88.8
750031,21.06
750032,33.45
750033,11.84
750034,95.57
750035,104.85
750036,47.87
750037,43.49
750038,154.89
750039,133.15
750040,98.89
750041,37.785333333333334
750042,82.23
750043,89.5
750044,184.58
750045,103.09
750046,215.39
750047,17.07
750048,28.46
750049,136.98
750050,204.04
750051,158.81
750052,24.49
750053,44.48
750054,70.81
750055,80.83
750056,118.7
750057,220.21
750058,134.23
750059,174.42
750060,112.56
750061,120.48
750062,116.84
750063,29.04
750064,120.89
750065,10.11
750066,31.68
750067,161.37
750068,6.63
750069,161.06
750070,98.62
750071,188.22
750072,141.69
750073,31.17
750074,143.71
750075,143.91
750076,82.97
750077,6.24
750078,131.43
750079,151.13
750080,66.82
750081,163.38
750082,15.41
750083,86.56
750084,144.50333333333333
750085,45.66
750086,9.01
750087,45.31
750088,25.26
750089,92.23
750090,21.41
750091,133.46
750092,53.16
750093,68.36
750094,10.524333333333335
750095,15.64
750096,26.01
750097,33.17
750098,195.84
750099,34.214
750100,22.87
750101,134.18
750102,81.29
750103,61.6
750104,53.89
750105,6.53
750106,29.74
750107,141.13
750108,2.27
750109,41.849166666666676
750110,82.56
750111,33.875
750112,36.01
750113,72.16
750114,164.61
750115,72.71
750116,59.14
750117,128.08
750118,130.89
750119,9.16
750120,136.24
750121,120.98
750122,244.13
750123,68.48333333333333
750124,14.07
750125,149.03
750126,104.85
750127,107.64
750128,111.78
750129,33.71
750130,122.32
750131,192.02
750132,161.46
750133,115.23
750134,68.87
750135,102.39
750136,16.25
750137,121.26
750138,52.28
750139,73.02
750140,17.9
750141,16.37
750142,65.52
750143,9.2
750144,82.36
750145,33.69
750146,7.38
750147,4.2
750148,68.08
750149,78.91
750150,6.32
750151,70.60749999999999
750152,10.37
750153,57.02
750154,163.73
750155,29.42
750156,148.62
750157,75.56
750158,46.78
750159,25.17
750160,22.75666666666667
750161,27.07
750162,112.99
750163,73.51
750164,76.153
750165,113.33049999999999
750166,38.74
750167,238.19
750168,29.6
750169,52.91333333333334
750170,41.25
750171,130.77
750172,132.06
750173,33.3
750174,49.44
750175,122.33
750176,151.46
750177,57.41
750178,58.1
750179,184.09
750180,31.17
750181,45.46
750182,68.97
750183,120.63850000000001
750184,67.67
750185,78.6
750186,157.94
750187,16.63
750188,23.33
750189,140.26
750190,56.87
750191,72.24
750192,114.25
750193,59.58
750194,116.48
750195,147.84
750196,79.51
750197,53.72
750198,145.64
750199,25.82
750200,80.21
750201,245.43
750202,32.873666666666665
750203,265.0
750204,20.29
750205,208.38
750206,93.06
750207,58.43
750208,13.716666666666665
750209,80.84
750210,201.7
750211,65.48410064935065
750212,22.65
750213,17.74
750214,92.75
750215,30.82
750216,40.63
750217,22.62
750218,142.48
750219,29.67
750220,40.76
750221,70.58
750222,84.66
750223,6.88
750224,72.0
750225,117.55
750226,15.87
750227,83.01
750228,28.3
750229,195.24
750230,7.19
750231,5.97
750232,138.06
750233,71.04
750234,14.59
750235,153.53
750236,15.99
750237,84.01
750238,63.67
750239,114.41
750240,7.96
750241,32.74
750242,26.31
750243,20.99
750244,158.86
750245,98.07600000000001
750246,84.48
750247,44.37
750248,50.202
750249,91.24
750250,42.13
750251,101.9
750252,167.13
750253,10.32
750254,19.35
750255,15.84
750256,116.06
750257,135.38
750258,31.58
750259,202.16
750260,146.91
750261,39.95
750262,17.31
750263,37.91
750264,187.8795
750265,48.8
750266,27.53
750267,9.37
750268,83.3
750269,10.78
750270,136.77
750271,58.0
750272,23.13
750273,197.62666666666667
750274,155.72
750275,242.06
750276,22.7
750277,181.72083333333336
750278,63.415
750279,91.88
750280,84.41
750281,34.66
750282,93.34
750283,94.54
750284,54.25
750285,55.4
750286,90.36
750287,100.06733333333334
750288,11.52
750289,150.11
750290,34.16
750291,89.62
750292,70.02
750293,48.27
750294,175.0
750295,64.4
750296,243.31
750297,103.6
750298,73.86
750299,85.41
750300,123.0
750301,125.11200000000001
750302,135.56
750303,26.34
750304,127.46
750305,126.19
750306,41.26
750307,96.66
750308,236.02
750309,50.66
750310,151.77
750311,13.78
750312,129.86
750313,112.6
750314,147.25
750315,195.64666666666668
750316,36.88
750317,21.65
750318,155.8
750319,108.6475
750320,43.31
750321,38.09
750322,93.53
750323,147.66
750324,2.26
750325,46.76
750326,64.99
750327,53.29
750328,86.9365
750329,35.26
750330,107.81
750331,100.29
750332,161.1
750333,98.16
750334,16.72
750335,183.06
750336,6.37
750337,158.74
750338,157.33
750339,127.18
750340,106.0
750341,134.015
750342,73.31
750343,205.9
750344,12.92
750345,7.45
750346,56.16
750347,90.66
750348,86.22
750349,87.34
750350,8.99
750351,56.3675
750352,70.61
